REGIAO:;S;;;;;;;;;;;;;;;;
UF:;PR;;;;;;;;;;;;;;;;
ESTACAO:;CURITIBA;;;;;;;;;;;;;;;;
CODIGO (WMO):;A807;;;;;;;;;;;;;;;;
LATITUDE:;-25,4486111;;;;;;;;;;;;;;;;
LONGITUDE:;-49,23055554;;;;;;;;;;;;;;;;
ALTITUDE:;922,91;;;;;;;;;;;;;;;;
DATA DE FUNDACAO:;28/01/2003;;;;;;;;;;;;;;;;
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s);;;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s)
06/05/2023;0400 UTC;0;;19,6;19,7;19,6;91;3,3;;;;;;;;;
06/05/2023;0500 UTC;0;;19,6;19,7;19,5;92;3,3;;;;;;;;;
06/05/2023;0600 UTC;0;;19,6;19,6;19,5;93;2,9;;;;;;;;;
06/05/2023;0700 UTC;0;;19,4;19,6;19,4;95;3;;;;;;;;;
06/05/2023;0800 UTC;0;;19,2;19,4;19,1;97;2,9;;;;;;;;;
06/05/2023;0900 UTC;0;;19,2;19,3;19,1;96;2,4;;;;;;;;;
06/05/2023;1000 UTC;0;1,6;19,2;19,2;19,2;96;2,7;;;;;;;;;
06/05/2023;1100 UTC;0;240,8;19,8;19,8;19,1;93;3,6;;;;;;;;;
06/05/2023;1200 UTC;0;596,8;20,4;20,4;19,8;87;4,1;;;;;;;;;
06/05/2023;1300 UTC;0;520,6;20,2;20,6;20,1;88;4,2;;;;;;;;;
06/05/2023;1400 UTC;0;1317,8;22,1;22,1;20,2;80;4,2;;;;;;;;;
06/05/2023;1500 UTC;0;2598,1;23,3;23,7;21,7;69;3,8;;;;;;;;;
06/05/2023;1600 UTC;0;2595,6;23,2;24,4;23;70;3,6;;;;;;;;;
06/05/2023;1700 UTC;0;2722,9;24,6;25,3;23,2;62;4;;;;;;;;;
06/05/2023;1800 UTC;0;2459,2;25,6;25,6;24,3;61;3,9;;;;;;;;;
06/05/2023;1900 UTC;0;1473,7;25,2;25,8;24,9;63;3,4;;;;;;;;;
